ID,섹션,케이스 유형,테스트 시나리오,기대 결과,우선순위,출처,사전 조건,비고
TC-001,반려동물 프로필 등록,해피,이름(10자)/종류(강아지)/성별(수컷)/생년월일 모두 입력하고 다음 버튼 클릭,대표 사진 업로드 화면으로 정상 이동,P0,기획서기반,로그인 상태 / 등록된 반려동물 4마리 이하,핵심 등록 플로우 검증
TC-002,반려동물 프로필 등록,해피,필수항목(이름/종류)만 입력하고 선택항목(품종/생일/성별) 미입력 후 다음 클릭,필수값만으로도 대표 사진 업로드 화면으로 정상 이동,P1,기획서기반,로그인 상태,선택 항목 미입력 시 기본값 처리 방식 기획 미명시
TC-003,반려동물 프로필 등록,인해피,이름 미입력(공백) 후 다음 버튼 클릭,"이름 입력 필드 하단에 빨간 테두리와 ""필수 입력 항목입니다"" 인라인 에러 메시지 표시 / 다음 화면으로 미이동",P1,기획서기반,로그인 상태,필수 입력값 유효성 검사
TC-004,반려동물 프로필 등록,인해피,종류 미선택 상태에서 다음 버튼 클릭,"종류 선택 필드 하단에 ""필수 입력 항목입니다"" 인라인 에러 메시지 표시 / 다음 화면으로 미이동",P1,기획서기반,로그인 상태,필수 입력값 유효성 검사
TC-005,반려동물 프로필 등록,엣지,이름 필드에 정확히 20자 입력 후 21번째 글자 입력 시도,20자 입력 후 추가 입력 차단 / 잔여 글자 수 0/20 표시,P2,기획서기반,로그인 상태,최대 길이 경계값 검증
TC-006,반려동물 프로필 등록,엣지,이름 필드에 이모지(🐶) 포함 문자열 입력 후 다음 클릭,이모지 포함 이름이 정상 입력되고 다음 화면으로 이동,P1,기획서기반,로그인 상태,이모지 허용 정책 기획서 명시됨
TC-007,반려동물 프로필 등록,엣지,생년월일 캘린더에서 오늘 날짜 선택 시도,오늘 날짜 비활성화(선택 불가) / 어제 이전 날짜만 선택 가능,P1,기획서기반,로그인 상태,오늘 날짜 포함 여부 경계 정책 미명시
TC-008,반려동물 프로필 등록,해피,"1:1 비율 JPG 이미지(512×512px 이상)를 갤러리에서 선택하여 업로드 후 ""등록"" 버튼 클릭",미리보기 화면 이미지 확인 후 프로필 등록 완료 / 프로필 화면 상단에 대표 사진 표시,P0,기획서기반,기본 정보 입력 완료 / 로그인 상태,핵심 사진 업로드 플로우
TC-009,반려동물 프로필 등록,해피,HEIC 형식 이미지를 갤러리에서 선택하여 업로드,HEIC 형식 정상 처리 후 미리보기 표시 / 등록 가능,P1,기획서기반,기본 정보 입력 완료 / HEIC 이미지 파일 준비,HEIC 지원 형식 기획서 명시됨
TC-010,반려동물 프로필 등록,인해피,GIF 형식 이미지를 대표 사진으로 업로드 시도,"지원하지 않는 파일 형식입니다(JPG/PNG/HEIC만 지원) 에러 메시지 표시 / 업로드 차단",P1,AI추가,기본 정보 입력 완료 / GIF 파일 준비,미지원 형식 업로드 에러 처리 기획서 미명시
TC-011,반려동물 프로필 등록,엣지,512×512px 미만(200×200px) 이미지를 대표 사진으로 업로드 시도,"512×512px 미만 이미지입니다. 업로드하시겠습니까? 경고 표시 / [확인] 클릭 시 업로드 허용 / [취소] 클릭 시 파일 선택 화면 유지",P1,AI추가,기본 정보 입력 완료 / 저해상도 이미지 준비,저해상도 허용 여부 정책 기획 미명시
TC-012,반려동물 프로필 등록,엣지,10MB를 초과하는 이미지 파일을 대표 사진으로 업로드 시도,"파일 선택 직후 ""10MB 이하 이미지만 업로드 가능합니다"" 토스트 메시지 3초 노출 / 업로드 차단",P1,AI추가,기본 정보 입력 완료 / 10MB 초과 이미지 준비,파일 용량 제한 기준 기획서 미명시
TC-013,반려동물 프로필 등록,엣지,OS 레벨에서 카메라·갤러리 접근 권한이 거부된 상태에서 대표 사진 업로드 버튼 클릭,"사진 접근 권한이 필요합니다. 설정에서 허용해 주세요 안내 표시 / [설정으로 이동] 버튼 클릭 시 기기 설정 > 앱 권한 화면으로 이동",P1,AI추가,OS 카메라·갤러리 접근 권한 거부 상태 / 로그인 완료,OS 권한 미허용 시나리오 기획 미명시
TC-014,반려동물 프로필 등록,해피,등록된 반려동물 프로필의 이름과 대표 사진 수정 후 저장,변경된 이름과 사진이 프로필 화면에 즉시 반영됨,P1,기획서기반,반려동물 프로필 등록 완료 / 로그인 상태,
TC-015,반려동물 프로필 등록,해피,반려동물 목록에서 대표 반려동물을 다른 마리로 지정 변경,선택한 반려동물이 대표로 지정되어 목록에 구분 표시,P2,기획서기반,반려동물 2마리 이상 등록 완료 / 로그인 상태,대표 반려동물 표시 방식 기획 미명시
TC-016,반려동물 프로필 등록,인해피,이름 필드를 공백으로 수정 후 저장 시도,"이름은 필수 입력 항목입니다 에러 메시지 표시 / 저장 차단",P1,AI추가,반려동물 프로필 등록 완료 / 로그인 상태,수정 시 유효성 재검사 기획 미명시
TC-017,반려동물 프로필 등록,엣지,캐릭터·일기가 생성된 반려동물 프로필 삭제 진행,"삭제 경고 모달에 ""캐릭터·일기도 함께 삭제됩니다"" 안내 표시 / 확인 클릭 시 모든 연계 데이터 삭제 완료",P0,기획서기반,캐릭터·일기가 생성된 반려동물 프로필 존재 / 로그인 상태,연계 삭제 범위(커뮤니티 게시물 포함 여부) 기획 미명시
TC-018,반려동물 프로필 등록,엣지,반려동물 1마리만 등록된 계정에서 해당 프로필 삭제 진행,"삭제 완료 후 빈 상태(0마리) 화면으로 이동 / 반려동물 등록하기 CTA 버튼 노출",P1,AI추가,반려동물 1마리만 등록 완료 / 로그인 상태,유일한 대표 반려동물 삭제 시 처리 기획 미명시
TC-019,AI 캐릭터 생성,해피,대표사진 등록된 프로필에서 성격 키워드 3개 선택 후 AI 캐릭터 만들기 클릭,15~30초 내 생성 완료 / 정면·측면·전신 3종 캐릭터 이미지 카드 표시 / 성격 요약 문구 함께 표시,P0,기획서기반,로그인 상태 / 대표 사진 등록 완료,핵심 AI 캐릭터 생성 기능 검증
TC-020,AI 캐릭터 생성,해피,성격 키워드 1개만 선택 후 AI 캐릭터 만들기 클릭,정상 생성 완료 / 3종 캐릭터 이미지 카드 표시,P1,AI추가,로그인 상태 / 대표 사진 등록 완료,키워드 최소 선택 수 정책 기획 미명시
TC-021,AI 캐릭터 생성,인해피,대표 사진이 없는 반려동물 프로필에서 AI 캐릭터 만들기 버튼 클릭,"대표 사진을 먼저 등록해 주세요 안내 표시 / [사진 등록하기] 버튼 클릭 시 대표 사진 업로드 화면으로 이동",P1,AI추가,로그인 상태 / 반려동물 프로필 등록 완료(대표 사진 미등록),캐릭터 생성 전제 조건(대표 사진) 처리 기획 미명시
TC-022,AI 캐릭터 생성,엣지,반려동물 얼굴이 가려지거나 극도로 흐린 저화질 이미지로 캐릭터 생성 시도,"로딩 완료 후 ""사진을 분석할 수 없습니다. 얼굴이 잘 보이는 사진으로 다시 시도해 주세요"" 에러 메시지 표시 / 앱 크래시 없음",P0,기획서기반,로그인 상태 / 저화질·가려진 이미지 업로드 완료,AI 입력 이미지 분석 실패 시나리오
TC-023,AI 캐릭터 생성,엣지,캐릭터 생성 로딩 중(15~30초 연산 중) 네트워크 연결 차단,"화면 상단에 ""네트워크 연결이 끊겼습니다"" 배너 표시 / 로딩 중단 후 ""다시 시도"" 버튼 노출 / 해당 시도의 재생성 횟수 미차감",P0,AI추가,캐릭터 생성 로딩 화면 진행 중 상태,고비용 AI 연산 중 오류 시 횟수 차감 정책 기획 미명시
TC-024,AI 캐릭터 생성,해피,캐릭터 생성 완료 후 원하는 캐릭터 선택 후 내 캐릭터로 저장 클릭,선택 캐릭터 저장 완료 / 프로필·일기·커뮤니티 게시물에 사용 가능,P0,기획서기반,캐릭터 생성 완료 상태,
TC-025,AI 캐릭터 생성,해피,생성 결과 화면에서 3종 캐릭터 카드를 좌우 스와이프하여 미리보기 전환,각 카드 전환 시 해당 캐릭터 이미지와 성격 요약 문구 자연스럽게 교체,P2,AI추가,캐릭터 생성 완료 상태,카드 뷰 인터랙션 방식 기획 미명시
TC-026,AI 캐릭터 생성,인해피,생성 결과 3종을 저장하지 않고 뒤로가기 버튼 클릭,"생성된 캐릭터를 저장하지 않으시겠습니까? 확인 모달 표시 / [나가기] 선택 시 캐릭터 미저장 / [계속] 선택 시 결과 화면 유지",P1,AI추가,캐릭터 생성 완료 상태,미저장 이탈 시 캐릭터 유지 여부 정책 기획 미명시
TC-027,AI 캐릭터 생성,엣지,AI 서버 오류 또는 타임아웃으로 캐릭터 이미지 생성이 완전 실패한 경우,"로딩 종료 후 ""캐릭터 생성에 실패했습니다. 잠시 후 다시 시도해 주세요"" 에러 표시 / 해당 시도의 재생성 횟수 미차감 / 앱 크래시 없음",P0,AI추가,로그인 상태 / 대표 사진 등록 완료 / AI 서버 타임아웃 또는 오류 상태 재현,AI 연산 완전 실패 시 폴백 처리 기획 미명시
TC-028,AI 캐릭터 생성,해피,생성 결과가 마음에 들지 않아 다시 생성 버튼 클릭(1회차),직전 결과와 다른 변형 캐릭터 3종 생성 / 남은 재생성 횟수 버튼 옆에 2/3 표시,P1,기획서기반,캐릭터 생성 완료 상태 / 당일 재생성 0회 사용,재생성 기능 핵심 동작 검증
TC-029,AI 캐릭터 생성,인해피,일일 재생성 횟수 3회 소진 후 다시 생성 버튼 클릭,"다시 생성 버튼 비활성화(그레이아웃) / 버튼 하단에 ""오늘 재생성 횟수를 모두 사용하였습니다 (0/3)"" 안내 노출",P1,기획서기반,캐릭터 생성 완료 상태 / 당일 재생성 3회 소진 완료,횟수 초기화 시점(자정 vs 최초 생성 후 24시간) 정책 기획 미명시
TC-030,AI 캐릭터 생성,엣지,재생성 2회 사용 후 앱 강제종료 후 재진입하여 재생성 횟수 확인,앱 재진입 후 남은 재생성 횟수가 1회로 유지됨 / 강제종료로 인한 횟수 리셋 없음,P1,AI추가,캐릭터 생성 완료 상태 / 당일 재생성 2회 사용,앱 강제종료 시 서버 사이드 횟수 관리 여부
TC-031,AI 캐릭터 생성,엣지,일일 재생성 한도 초기화 기준 시각 검증(자정 KST vs 최초 생성 후 24시간),초기화 기준 도달 후 재생성 횟수가 3/3으로 복구됨,P1,AI추가,당일 재생성 3회 소진 완료 / 기준 시각 도달 후 재진입,초기화 기준 정책 기획서 미명시
TC-032,AI 일기 자동생성,해피,"캐릭터 생성 완료 후 오늘의 일기 쓰기 버튼 클릭 / 키워드(산책/간식) 2개 선택 후 생성 클릭",선택 키워드·캐릭터 성격 반영된 200~400자 1인칭 일기 생성 완료 / 캐릭터 이미지와 날짜 함께 표시 / 일기장 탭 자동 저장,P0,기획서기반,로그인 상태 / 캐릭터 생성 완료,핵심 AI 일기 기능 검증
TC-033,AI 일기 자동생성,해피,사진을 추가 업로드하여 일기 생성 트리거 활성화 확인,사진 업로드 직후 일기 생성 트리거 동작하여 일기 생성 프로세스 시작,P1,기획서기반,로그인 상태 / 캐릭터 생성 완료,사진 업로드 이벤트 기반 트리거 검증
TC-034,AI 일기 자동생성,인해피,캐릭터가 한 번도 생성되지 않은 반려동물 프로필에서 오늘의 일기 쓰기 버튼 클릭,"캐릭터를 먼저 생성해 주세요 안내 표시 / [캐릭터 만들기] 버튼 클릭 시 캐릭터 생성 화면으로 이동",P1,AI추가,로그인 상태 / 반려동물 프로필 등록 완료(캐릭터 미생성),일기 생성 전제 조건(캐릭터) 처리 기획 미명시
TC-035,AI 일기 자동생성,엣지,기기 시간대를 UTC+0으로 설정한 상태에서 오후 9시 자동 일기 생성 트리거 확인,기기 로컬 시간과 관계없이 KST 오후 9시 기준으로 자동 일기 생성이 트리거됨,P1,AI추가,기기 시간대 UTC+0 설정 / 캐릭터 생성 완료,타임존 정책 기획서 미명시 / KST 서버 기준 확정 필요
TC-036,AI 일기 자동생성,해피,일기 생성 완료 후 생성된 텍스트 글자 수 확인,생성된 일기 본문이 200자 이상 400자 이하 범위 내,P1,기획서기반,일기 생성 완료 상태,
TC-037,AI 일기 자동생성,해피,생성된 일기 내용을 직접 편집 후 저장,편집된 내용이 일기장에 반영되어 저장됨,P1,기획서기반,일기 생성 완료 상태,수정 이력 관리 여부 기획 미명시
TC-038,AI 일기 자동생성,엣지,일기 생성 진행 중 앱 강제종료 후 재진입,"생성 완료된 경우 일기장 자동 저장 유지 / 미완료 상태인 경우 ""일기 생성이 완료되지 않았습니다. 다시 생성하시겠습니까?"" 안내 표시 / 앱 크래시 없음",P0,AI추가,일기 생성 진행 중 상태,생성~저장 원자성(atomicity) 보장 여부 기획 불분명
TC-039,AI 일기 자동생성,엣지,하루에 일기를 이미 생성한 상태에서 오늘의 일기 쓰기 버튼 재클릭,기존 일기 덮어쓰기 확인 모달 또는 오늘 일기 이미 존재 안내 표시 / 중복 생성 정책에 따라 처리,P1,AI추가,일기 1개 이미 생성 완료 상태,하루 일기 중복 생성 허용 여부 정책 기획 미명시
TC-040,AI 일기 자동생성,해피,설정에서 일기 생성 언어를 한국어에서 영어로 변경 후 일기 생성,영문으로 작성된 1인칭 일기 텍스트 생성 완료,P1,기획서기반,로그인 상태 / 캐릭터 생성 완료 / 언어 설정 영어로 변경,
TC-041,AI 일기 자동생성,해피,언어를 한국어에서 일본어로 변경 후 이후 생성 일기 언어 확인,언어 변경 이후 생성된 일기는 일본어로 작성됨 / 변경 전 일기는 한국어 유지,P1,기획서기반,캐릭터 생성 완료 / 기존 한국어 일기 존재 / 언어 일본어로 변경,언어 변경 이전 일기 유지 기획서 명시됨
TC-042,AI 일기 자동생성,엣지,한국어로 생성된 기존 일기가 있는 상태에서 언어를 영어로 변경 후 기존 일기 조회,기존 한국어 일기는 언어 변경 후에도 한국어로 그대로 표시됨 / 소급 번역 없음,P1,기획서기반,기존 한국어 일기 최소 1개 존재 / 영어로 언어 변경 완료,
TC-043,커뮤니티 피드,해피,캐릭터 이미지 첨부 + 본문 100자 + 해시태그 3개 작성 후 게시 버튼 클릭,피드에 게시물 즉시 노출 / 해시태그 링크 활성화 / 좋아요 및 댓글 버튼 정상 표시,P0,기획서기반,로그인 상태 / 캐릭터 생성 완료,핵심 커뮤니티 기능 검증
TC-044,커뮤니티 피드,해피,일기 첨부 + 사진 4장 + 해시태그 10개 + 본문 500자(모두 최대치)로 게시물 작성 후 게시,모든 최대치 입력 조건에서 정상 게시 완료 / 피드에 즉시 노출,P1,기획서기반,로그인 상태 / 캐릭터 및 일기 생성 완료,최대값 경계 검증
TC-045,커뮤니티 피드,인해피,본문 미입력 + 첨부파일 없는 상태에서 게시 버튼 클릭,게시 버튼 비활성화(그레이아웃) / 본문 입력 또는 파일 첨부 시 버튼 활성화,P1,기획서기반,로그인 상태,빈 게시물 방지 처리 검증
TC-046,커뮤니티 피드,엣지,게시물 작성 중 본문 500자 입력 후 501번째 글자 입력 시도,"500자 도달 시 추가 입력 차단 / 잔여 글자 수 0 표시 / ""최대 500자까지 입력 가능합니다"" 토스트 노출",P1,기획서기반,로그인 상태 / 게시물 작성 화면,최대 글자 수 경계값 검증
TC-047,커뮤니티 피드,엣지,게시물 작성 중 해시태그 10개 입력 후 11번째 해시태그 입력 시도,"10개 도달 시 해시태그 입력 필드 비활성화 / ""최대 10개까지 입력 가능합니다"" 토스트 노출",P1,기획서기반,로그인 상태 / 게시물 작성 화면,최대 해시태그 수 경계값 검증
TC-048,커뮤니티 피드,해피,피드 화면에서 최신순·인기순 정렬 탭 전환,선택한 정렬 기준에 맞게 게시물 목록 즉시 재정렬,P1,기획서기반,로그인 상태 / 피드에 게시물 10개 이상 존재,
TC-049,커뮤니티 피드,해피,피드 화면 하단까지 스크롤 다운,20개 단위로 추가 게시물이 자동 로딩되어 연속 표시(무한 스크롤),P1,기획서기반,로그인 상태 / 피드에 게시물 21개 이상 존재,
TC-050,커뮤니티 피드,엣지,팔로우 사용자가 0명이고 게시물이 없는 신규 가입 계정에서 피드 탭 진입,"빈 상태 일러스트와 ""아직 게시물이 없어요"" 문구 및 ""다른 반려인 찾기"" CTA 버튼 노출",P2,AI추가,신규 가입 완료 / 팔로우 0명,피드 Empty State 화면 기획 미명시
TC-051,커뮤니티 피드,엣지,서로 다른 기기에서 동일 게시물에 동시에 좋아요 클릭,두 기기 모두 좋아요 수가 정확하게 +1 반영됨 / 중복 집계 없음,P1,AI추가,동일 게시물에 두 기기 동시 접근,동시성 처리 정책 검증
TC-052,커뮤니티 피드,해피,해시태그 #강아지로 게시물 검색,해당 해시태그가 포함된 게시물 목록이 게시물 탭에 표시됨,P1,기획서기반,로그인 상태 / 해당 해시태그 게시물 존재,
TC-053,커뮤니티 피드,해피,닉네임으로 다른 사용자 검색 후 팔로우 버튼 클릭,팔로우 완료 / 해당 사용자의 새 게시물이 피드에 우선 노출,P1,기획서기반,로그인 상태 / 대상 사용자 존재,
TC-054,커뮤니티 피드,인해피,존재하지 않는 해시태그(#xyztest123)로 검색,"게시물 탭과 사용자 탭 모두 ""검색 결과가 없습니다"" 빈 상태 표시",P2,AI추가,로그인 상태,검색 결과 없음 Empty State 처리 기획 미명시
TC-055,커뮤니티 피드,엣지,검색어 입력창에 아무것도 입력하지 않고 검색 버튼 클릭,검색 버튼 비활성화 또는 클릭 시 아무 동작 없음 / 공백 검색 처리 방식 기획 미명시,P2,AI추가,로그인 상태 / 검색 화면 진입,공백 검색 처리 정책 기획 미명시
TC-056,알림,해피,좋아요 알림 ON 상태에서 다른 사용자가 내 게시물에 좋아요 클릭,기기 잠금 화면 및 알림 센터에 좋아요 알림 즉시 노출 / 앱 내 알림 탭에 내역 기록,P1,기획서기반,로그인 상태 / OS 푸시 알림 권한 허용 / 좋아요 알림 ON,커뮤니티 알림 정상 동작 검증
TC-057,알림,해피,일기 생성 완료 알림 ON 상태에서 일기 자동 생성 완료 후 알림 수신 확인,일기 생성 완료 시 기기에 알림 노출 / 알림 탭 클릭 시 해당 일기로 이동,P1,기획서기반,로그인 상태 / OS 푸시 알림 권한 허용 / 일기 생성 완료 알림 ON,
TC-058,알림,엣지,전체 알림 설정 모두 OFF 상태에서 서비스 긴급 공지 알림 발송 시나리오,"일반 알림(좋아요·댓글)은 미수신 / 서비스 긴급 공지는 앱 내 상단 고정 배너로 노출 및 등록 이메일로 별도 발송",P1,AI추가,로그인 상태 / 전체 알림 OFF 설정,필수 공지의 알림 우선순위 처리 정책 기획 미명시
TC-059,알림,해피,알림 설정 화면에서 댓글 알림 수신 ON→OFF 토글 변경,변경 즉시 반영 / 이후 댓글 발생 시 알림 미수신,P1,기획서기반,로그인 상태 / 댓글 알림 ON 상태,설정 변경 즉시 반영 기획서 명시됨
TC-060,알림,해피,푸시 알림 채널에서 이메일 알림 채널 추가 설정,이후 알림 발생 시 푸시 + 이메일 두 채널 모두 수신,P2,기획서기반,로그인 상태,
TC-061,알림,인해피,OS 레벨에서 앱 푸시 알림 권한이 거부된 상태에서 앱 내 좋아요 알림 ON으로 설정 시도,"알림 수신을 위해 기기 설정에서 알림 권한을 허용해 주세요 안내 표시 / [설정으로 이동] 버튼 클릭 시 기기 설정 > 앱 알림 권한 화면으로 이동",P1,AI추가,OS 푸시 알림 권한 거부 상태 / 로그인 완료,OS 권한 거부 시 앱 내 설정 흐름 기획 미명시
TC-062,알림,엣지,앱 내 알림 ON으로 설정되어 있으나 OS 레벨 알림 권한이 OFF인 불일치 상태에서 알림 발생,"앱 내 설정과 OS 권한 불일치를 감지하여 ""알림 권한이 꺼져 있습니다. 설정에서 허용해 주세요"" 안내 배너 노출",P1,AI추가,앱 알림 ON / OS 알림 권한 OFF 상태,OS 권한과 앱 내 설정 불일치 처리 기획 미명시
TC-063,계정 및 인증,해피,미사용 이메일 / 8자 이상 비밀번호 / 2~15자 닉네임 입력 후 회원가입 → 24시간 내 이메일 인증 링크 클릭,"회원가입 완료 후 이메일 인증 완료 안내 표시 / 앱 내 로그인 상태로 자동 전환",P0,기획서기반,미사용 이메일 주소 / 만 14세 이상,핵심 회원가입 및 인증 플로우 검증
TC-064,계정 및 인증,해피,구글 소셜 로그인으로 신규 가입 진행,구글 OAuth 인증 완료 후 앱 내 로그인 상태 전환 / 닉네임 설정 화면으로 이동,P0,기획서기반,구글 계정 보유 / 앱 최초 접속,소셜 로그인 가입 플로우 검증
TC-065,계정 및 인증,인해피,이미 가입된 이메일 주소로 신규 이메일 회원가입 시도,"이메일 입력 필드 하단에 ""이미 사용 중인 이메일입니다"" 인라인 에러 메시지 표시 / 가입 진행 불가 / ""로그인하기"" 텍스트 링크 노출",P0,기획서기반,해당 이메일로 기존 계정 존재,중복 이메일 방지 처리 검증
TC-066,계정 및 인증,인해피,비밀번호 7자(최소 8자 미만) 입력 후 회원가입 시도,"비밀번호 필드 하단에 ""비밀번호는 8자 이상이어야 합니다"" 인라인 에러 메시지 표시 / 가입 진행 불가",P1,기획서기반,미사용 이메일 주소,비밀번호 길이 유효성 검사
TC-067,계정 및 인증,인해피,만 14세 미만에 해당하는 생년월일 입력 후 회원가입 시도,"""만 14세 이상만 가입할 수 있습니다"" 에러 메시지 표시 / 가입 진행 불가",P1,기획서기반,미사용 이메일 주소,연령 제한 유효성 검사
TC-068,계정 및 인증,엣지,이메일 인증 링크 발송 후 24시간 초과된 링크 클릭,"인증 링크가 만료되었습니다 안내 화면 표시 / [인증 메일 재발송] 버튼 클릭 시 신규 인증 메일 발송 완료 토스트 노출",P1,AI추가,회원가입 완료 / 24시간 이상 경과 후 링크 클릭,링크 만료 후 재발송 플로우 기획 미명시
TC-069,계정 및 인증,엣지,이메일 계정으로 가입된 동일 이메일로 구글 소셜 로그인 시도,"해당 이메일은 이미 이메일 계정으로 가입되어 있습니다. 이메일 로그인을 이용해 주세요 안내 표시 / 소셜 로그인 진행 차단",P0,AI추가,이메일 계정 가입 완료 / 동일 이메일로 구글 소셜 로그인 시도,이메일 계정과 소셜 계정 충돌 정책 기획 미명시
TC-070,계정 및 인증,해피,닉네임을 2~15자 범위 내 새 닉네임으로 변경 후 저장,변경된 닉네임이 프로필 및 게시물에 즉시 반영됨,P1,기획서기반,로그인 상태,
TC-071,계정 및 인증,해피,현재 비밀번호 정확히 입력 후 신규 비밀번호(8자 이상)로 변경 완료,"비밀번호 변경 완료 안내 표시 / 변경된 비밀번호로 재로그인 가능",P1,기획서기반,로그인 상태,
TC-072,계정 및 인증,인해피,닉네임을 1자(최소 2자 미만)로 변경 시도,"닉네임은 2자 이상이어야 합니다 에러 메시지 표시 / 저장 차단",P1,기획서기반,로그인 상태,최소 길이 경계값 검증
TC-073,계정 및 인증,엣지,다른 사용자가 이미 사용 중인 닉네임으로 변경 시도,"이미 사용 중인 닉네임입니다 에러 메시지 표시 / 저장 차단",P1,AI추가,로그인 상태 / 해당 닉네임을 사용 중인 다른 계정 존재,닉네임 중복 허용 여부 정책 기획 미명시
TC-074,계정 및 인증,해피,삭제 사유 선택 + 비밀번호 재확인 후 계정 삭제 버튼 클릭,"계정이 삭제되었습니다 안내 후 로그인 화면으로 이동 / 30일간 데이터 보관 후 영구 삭제 안내 표시",P0,기획서기반,로그인 상태,핵심 계정 삭제 플로우 검증
TC-075,계정 및 인증,해피,계정 삭제 후 30일 이내에 동일 이메일로 재로그인 시도,"계정을 복구하시겠습니까? 안내 화면 표시 / [복구하기] 클릭 시 기존 데이터 복원 및 로그인 완료",P1,기획서기반,계정 삭제 후 30일 이내 / 동일 이메일로 재로그인 시도,삭제 후 재로그인 시 복구 플로우 기획서 명시됨
TC-076,계정 및 인증,인해피,계정 삭제 비밀번호 재확인 단계에서 오류 비밀번호 입력,"비밀번호가 올바르지 않습니다 에러 메시지 표시 / 삭제 진행 차단 / 일정 횟수 초과 시 잠금 정책 미명시",P0,기획서기반,로그인 상태 / 계정 삭제 화면 진입,비밀번호 오류 횟수 제한 정책 기획 미명시
TC-077,계정 및 인증,엣지,계정 삭제 비밀번호 재확인 완료 후 최종 처리 단계에서 앱 강제종료 후 재진입,"삭제 미완료 시 로그인 상태 유지 / 삭제 완료 시 ""계정이 삭제되었습니다"" 안내 후 로그인 화면으로 이동 / 데이터 일관성 이상 없음 / 앱 크래시 없음",P0,AI추가,로그인 상태 / 계정 삭제 비밀번호 재확인 완료 시점,탈퇴 프로세스 원자성(atomicity) 보장 여부 기획 미명시
TC-078,계정 및 인증,엣지,계정 삭제 후 31일 이후(영구 삭제 완료 후) 동일 이메일로 신규 회원가입 시도,영구 삭제 완료 후 동일 이메일로 신규 가입이 정상 진행됨,P1,AI추가,계정 삭제 후 31일 이상 경과,영구 삭제 후 이메일 재사용 정책 기획 미명시
